file	scene	idx	ua
resg00_01.ks	*dummy1	210	Пастка? Цілком у дусі брудних прийомів «Організації».\nАле невже ця дівчина-геній опустилася б до такого?
resg00_01.ks	*dummy1	211	Здавалося, ви ось-ось розплачетесь… і вам дуже боляче.
resg00_01.ks	*dummy1	212	…Чому? Ми з вами бачилися раніше?
resg00_01.ks	*dummy1	213	Не схоже, щоб Макісе Курісу жартувала.\nСаме тому вона для мене — цілковита загадка.
resg00_01.ks	*dummy1	214	І взагалі, звідки ви знаєте моє ім'я?
resg00_01.ks	*dummy1	215	Я бачу все наскрізь.
resg00_01.ks	*dummy1	216	Я ж таки безумний учений.
resg00_01.ks	*dummy1	217	Дівчино-генію, наступного разу ми зустрінемось як вороги!
resg00_01.ks	*dummy1	218	Га…?
resg00_01.ks	*dummy1	219	Прощавай! Муаха-ха-ха!
resg00_01.ks	*dummy1	220	А, стрива…
resg00_01.ks	*dummy1	221	Збігаю вниз і миттю ховаюся на сходах з протилежного боку.
resg00_01.ks	*dummy1	222	Услід мені летить голос Макісе Курісу — вимагає зупинитись. Ще б я слухав ворога.
resg00_01.ks	*dummy1	223	К-клята… «Організація»…!
resg00_01.ks	*dummy1	224	Підіслати такого агента… Схоже, вони нарешті взялися за мене всерйоз…!
resg00_01.ks	*dummy1	225	А-Але мене їм ще рано брати…
resg00_01.ks	*dummy1	226	Із конференцією все ясно: теорія Накабачі — звичайний плагіат. Повертатися до зали більше нема сенсу.
resg00_01.ks	*dummy1	227	Пора додому.
resg00_01.ks	*dummy1	228	І тут до мене доходить: я забув щось важливе.
resg00_01.ks	*dummy1	229	А! Маюрі!
resg00_01.ks	*dummy1	230	А я ж нібито понад усе дбав про її безпеку. Розслабився.
resg00_01.ks	*dummy1	231	Спершу подзвоню. Якщо все гаразд — просто покличу її сюди.
resg00_01.ks	*dummy1	232	З цією думкою дістаю телефон. Вмикаю.
resg00_01.ks	*dummy2	0	І тієї ж миті лунає сигнал.
resg00_01.ks	*dummy2	1	Гм? Лист?
resg00_01.ks	*dummy3	0	Не звичайний лист — з відео.
resg00_01.ks	*dummy3	1	Ні теми, ні тексту.
resg00_01.ks	*dummy3	2	Відправник — незнайома адреса.\nЗ підозрою вмикаю відео.
resg00_01.ks	*dummy3	3	…?
resg00_01.ks	*dummy3	4	Це що, розіграш?
resg00_01.ks	*dummy3	5	Чи якась атака Макісе Курісу?\nА цей шум — насправді дивні звукові хвилі, що зводять людей з розуму?
resg00_01.ks	*dummy3	6	…Ні, я не пам'ятаю, щоб давав тій жінці адресу. Це вже я перемудрив.
resg00_01.ks	*dummy3	7	Та й узагалі, зараз не до цього.
resg00_01.ks	*dummy3	8	Зупиняю відео на половині й набираю номер Маюрі.
resg00_01.ks	*dummy3	9	Кх, чому не бере?
resg00_01.ks	*dummy3	10	Шукати її по всьому будинку самому не хочеться.\nЯкщо знову натраплю на Макісе Курісу — клопоту не оберешся.
resg00_01.ks	*dummy3	11	Але піти без Маюрі я не можу.
resg00_01.ks	*dummy3	12	Хай це й гіперопіка, але я просто не можу спускати її з очей.
resg00_01.ks	*dummy3	13	У моєї так званої молодшої сестрички є одна тривожна риса: лишиш її саму — і вона, здається, побреде кудись навмання.
resg00_01.ks	*dummy3	14	«Кудись» — це куди завгодно, аби не сюди.
resg00_01.ks	*dummy3	15	Вона змалку така.
resg00_01.ks	*dummy3	16	…Власне, саме через оцю її рису я і став Темним Феніксом.
resg00_01.ks	*dummy3	17	Що ж, нічого не вдієш. Піду шукати.
resg00_01.ks	*dummy3	18	І тут знизу, зі сходів, чую кроки.
resg00_01.ks	*dummy3	19	О, Окаріне.
resg00_01.ks	*dummy3	20	Маюрі.\nФух. Шукати не доведеться.
resg00_01.ks	*dummy3	21	Металевий Упа… зник.
resg00_01.ks	*dummy3	22	Зник? Сам узяв і пішов? Оце вже фантастика.
resg00_01.ks	*dummy3	23	Здається, я його загубила…
resg00_01.ks	*dummy3	24	То вона сама його шукала?\nОт же ж, змусила понервувати.
resg00_01.ks	*dummy3	25	Не знайдеться — забудь. Викрутиш іншого.
resg00_01.ks	*dummy3	26	Нізащо не викручу. Він же дуже рідкісний.
resg00_01.ks	*dummy3	27	На інтернет-аукціонах за нього дають аж десять тисяч єн!
resg00_01.ks	*dummy3	28	Що… ти… сказала?
resg00_01.ks	*dummy3	29	Т-Така ціна за ту крихітну іграшку?..
resg00_01.ks	*dummy3	30	Маюрі, де саме ти його впустила?!
resg00_01.ks	*dummy3	31	Якби я знала, то не шукала б… І навіть якщо знайдемо — продавати не будемо, зрозумів?
resg00_01.ks	*dummy3	32	Ха-ха-ха! Ці десять тисяч підуть на мої дослідження!
resg00_01.ks	*dummy3	33	Кажу ж, не продамо! Маюші вже написала на ньому своє ім'я.
resg00_01.ks	*dummy3	34	Отак ми й узялися за пошуки Металевого Упи, роздивляючись кожен куточок.
resg00_01.ks	*dummy3	35	Туттуру♪ Упо-о, Упо-о, виходь, виходь, де б ти не був!
resg00_01.ks	*dummy3	36	Маюрі кличе його, та він, ясна річ, не відгукується.
resg00_01.ks	*dummy3	37	До речі, «Туттуру♪» — улюблене слівце Маюрі, вона каже його з будь-якого приводу.
resg00_01.ks	*dummy3	38	Що воно значить… я ніколи не питав.
resg00_01.ks	*dummy3	39	Металевий Упа так і не знайшовся.
resg00_01.ks	*dummy3	40	Виходить, загубила вона його не на сьомому, біля автоматів, а десь по дорозі до зали на восьмому?
resg00_01.ks	*dummy3	41	Або ж хтось, хто знає справжню ціну Металевого Упи, підібрав його й забрав собі.
resg00_01.ks	*dummy3	42	Ниций негіднику, для якого існують лише гроші! Посоромся…!
resg00_01.ks	*dummy3	43	Як і ти, Окаріне!
resg00_01.ks	*dummy3	44	Кх, щоб мене підколола сама Маюрі…
resg00_01.ks	*dummy3	45	А-а-а-а-а-а-а-а-а-а!
resg00_01.ks	*dummy3	46	?!
resg00_01.ks	*dummy3	47	Щ-Що це за крик?
resg00_01.ks	*dummy3	48	Хтось… кричав?
resg00_01.ks	*dummy3	49	Так не буває.
resg00_01.ks	*dummy3	50	Знову?.. Спершу та штука на даху, а тепер ще й це?
resg00_01.ks	*dummy3	51	Маюрі, стій тут.
resg00_01.ks	*dummy3	52	Вибігаю сходами нагору і йду коридором далі. Ні душі, півтемрява.
resg00_01.ks	*dummy3	53	Крик, здається, долинув звідти.
resg00_01.ks	*dummy3	54	Зазираю в кімнату з підозріло відчиненими дверима — і одразу бачу «це».
resg00_01.ks	*dummy3	55	Щось лежить долілиць.
resg00_01.ks	*dummy3	56	Не ворушиться.
resg00_01.ks	*dummy3	57	Одяг знайомий.
resg00_01.ks	*dummy3	58	Що це таке…\nРозумію миттєво.
resg00_01.ks	*dummy3	59	Ах…
resg00_01.ks	*dummy3	60	Макісе Курісу…
resg00_01.ks	*dummy3	61	Зухвала дівчина-геній, що причепилася до мене якихось пів години тому.
resg00_01.ks	*dummy3	62	Лежить у калюжі яскраво-червоної, аж сліпучої крові.
resg00_01.ks	*dummy3	63	Вона… мертва?
resg00_01.ks	*dummy3	64	Що… ч-чому?..
resg00_01.ks	*dummy3	65	Що робити. Хочу втекти. Втекти звідси геть.
resg00_01.ks	*dummy3	66	Не треба було сюди йти.
resg00_01.ks	*dummy3	67	Це вочевидь ненормально.
resg00_01.ks	*dummy3	68	Так не буває.
resg00_01.ks	*dummy3	69	Макісе Курісу явно хтось убив.
resg00_01.ks	*dummy3	70	Хто?..
resg00_01.ks	*dummy3	71	Більше тут нікого…
resg00_01.ks	*dummy3	72	Треба забиратися звідси, і якнайшвидше.
resg00_01.ks	*dummy3	73	Біжу до Маюрі, яка чекає на сьомому.
resg00_01.ks	*dummy3	74	Окаріне, що сталося?..
resg00_01.ks	*dummy3	75	Й-Йдемо звідси!
resg00_01.ks	*dummy3	76	Мчу сходами вниз і щосили жену з голови побачене — тіло Курісу.
resg00_01.ks	*dummy3	77	Не виходить.
resg00_01.ks	*dummy3	78	Навіть не саме тіло — яскраво-червона калюжа крові, що розтеклася під нею, врізалась у пам'ять і не відпускає.
resg00_01.ks	*dummy3	79	Не стільки страх, скільки огида — аж мороз пробіг по спині.
resg00_01.ks	*dummy3	80	І все. Більше нічого я не відчув.\nНічого більшого не спало на думку.
resg00_01.ks	*dummy3	81	Ось і все, ким була для мене Макісе Курісу…
resg00_01.ks	*dummy3	82	Хух, хух…
resg00_01.ks	*dummy3	83	Агов, що сталося? На тобі лиця нема…
resg00_01.ks	*dummy3	84	Там… людина… мертва.
resg00_01.ks	*dummy3	85	Е…
resg00_01.ks	*dummy3	86	Кілька глибоких вдихів.
resg00_01.ks	*dummy3	87	Колір тієї крові досі стоїть перед очима.
resg00_01.ks	*dummy3	88	Але я вже трохи заспокоївся.
resg00_01.ks	*dummy3	89	Макісе Курісу вбили.
resg00_01.ks	*dummy3	90	Хто — не знаю.
resg00_01.ks	*dummy3	91	Удалині чути сирену — скоро приїде швидка.\nА за нею нагряне поліція, і тут здійметься переполох.
resg00_01.ks	*dummy3	92	Але поки що натовп, який гуляє літньою Акіхабарою, ні про що не здогадується.
resg00_01.ks	*dummy3	93	Усі йдуть собі, як завжди.
resg00_01.ks	*wsl	0	Я, сам не знаю навіщо, дістаю з кишені телефон.\nБез жодної мети.
resg00_01.ks	*wsl	1	А, точно. Дару — це ж він розповів мені про Макісе Курісу. Напишу йому про те, що я щойно бачив.
resg00_01.ks	*wsl	2	Після такого видовища тверезо мислити не виходить.
resg00_01.ks	*wsl	3	«Схоже, Макісе Курісу вдарив ножем якийсь чоловік. Хто — не знаю. Здається, все погано. Що ж тепер буде».
resg00_01.ks	*wsl	4	Хто злочинець — поняття не маю.
resg00_01.ks	*wsl	5	І, якщо чесно, чи то був ніж — теж лише здогад.
resg00_01.ks	*wsl	6	Пострілу я не чув, а крові була ціла калюжа — от і вирішив, що ніж.
resg00_01.ks	*wsl	7	Натомість слово «вбили» я писати не став.
resg00_01.ks	*wsl	8	Чому — сам до пуття не знаю.
resg00_01.ks	*wsl	9	Хіба що… здавалося, ніби, написавши це слово, я тим самим «зафіксую» його остаточно.
