src	id	field	ua
tips	114	ruby	
tips	115	ctgr	Інше
tips	115	name	Пояснювальна репліка
tips	115	note	Штучна, неприродна репліка, яку персонаж навряд чи сказав би сам, — автор вставляє її, щоб пояснити читачеві якесь поняття.
tips	115	ruby	
tips	116	ctgr	Інше
tips	116	name	Зомбі
tips	116	note	Спершу так у вуду називали «живого трупа», підвладного чаклунові. З 1930-х цей образ вигулькував у фільмах жахів, а з 1990-х перебрався у безліч відеоігор і кіно.
tips	116	ruby	
tips	117	ctgr	Інше
tips	117	name	Марціальні мистецтва
tips	117	note	Спочатку — англійський переклад японського слова «буґей». Позначає переважно східні бойові мистецтва та єдиноборства. У японських творах цей термін часто вживають помилково — як «особливу систему рукопашного бою, розроблену армією США для знешкодження ворожих солдатів і терористів».
tips	117	ruby	
tips	118	ctgr	Інше
tips	118	name	Норадреналін
tips	118	note	Один із нейромедіаторів, що виділяються в мозку. Правильна назва — «норепінефрин». Виділяється, зокрема, у стані гніву чи збудження.
tips	118	ruby	
tips	119	ctgr	Наука
tips	119	name	Квантова телепортація
tips	119	note	"Точна назва — «квантова телепортація». Жодного справжнього миттєвого переміщення тут немає. У 2004 році японські науковці вперше успішно провели «повний експеримент з квантової телепортації».
Припустімо, ми створили пару елементарних частинок-близнюків (тут — фотонів) A і B. Оскільки вони близнюки, вони симетричні: якщо один має спін угору, другий обов'язково має спін униз. Тобто, спостерігши A або B, ми автоматично знаємо стан другого, навіть не спостерігаючи його. Це називають заплутаністю.
Доки елементарну частинку (фотон) не спостерігають, її стан не визначений. Кілька станів накладаються один на одний, і до моменту спостереження «не вирішено», який саме стан має частинка.
Цим і користуються: у вимірювальному приладі заплутують фотон A з інформацією C, яку треба телепортувати. Спостереження цього сплетіння дає «AC», і хоч би як далеко був B, його стан визначається як «BC». (На цьому етапі B ще не спостерігали.) Далі від приладу, що спостерігав A, звичайним каналом зв'язку передають інформацію про фотон AC до приладу, що спостерігає B, — і після спостереження фотон B перетворюється на «фотон BC».
Оскільки інформація C фактично переміщується миттєво, це й назвали квантовою телепортацією. Але через обов'язковий етап «передачі інформації звичайним зв'язком» рух швидше за світло неможливий.
І ще: інформація C у кінцевому «переміщеному» фотоні BC насправді є копією тієї C, що містилася у фотоні AC, а місцеперебування оригінального фотона C лишається невідомим. Тож із справжнім миттєвим переміщенням це не те саме."
tips	119	ruby	
tips	11	ctgr	Мережа
tips	11	name	Супер Хака
tips	11	note	Хакер із неймовірними вміннями. Щоправда, за власними словами. Ще в суперечках на анонімних форумах часто зринає погроза на кшталт: «У мене друг — хакер із золотими руками, він тебе вмить розкриє». Ось із насмішки над такими заявами й пішло: «супер хака» — це той самий вкрай майстерний хакер, якого вочевидь не існує.
tips	11	ruby	
tips	120	ctgr	Мережа
tips	120	name	Той, хто всередині
tips	120	note	Найчастіше так називають актора озвучення, що грає персонажа в аніме тощо. Іноді — людину, яка веде акаунт компанії чи організації. Кажуть, що вислів походить від репліки з однієї манґи: «Немає ніякого «того, хто всередині»!»
tips	120	ruby	
tips	121	ctgr	Інше
tips	121	name	DOS
tips	121	note	Правильно — «MS-DOS». Побутова назва 16-бітної ОС (операційної системи) для ПК.
tips	121	ruby	
tips	122	ctgr	Гаджет Майбутнього
tips	122	name	ТелефоноХвильовка (робоча назва)
tips	122	note	Гаджет Майбутнього № 8. Мікрохвильова піч, якою можна керувати дистанційно з мобільного. Випадково набула здатності надсилати листи в минуле.
tips	122	ruby	
tips	123	ctgr	Акіба
tips	123	name	Санпо
tips	123	note	Ґюдонна забігайлівка в Акіхабарі.
tips	123	ruby	
tips	124	ctgr	Мережа
tips	124	name	Раджу-у
tips	124	note	Перекручене «раджу».
tips	124	ruby	
tips	125	ctgr	Мережа
tips	125	name	HTML
tips	125	note	«HyperText Markup Language». Мова для опису документів веб-сторінок. Дозволяє вставляти в документ зображення, звук, відео та гіперпосилання.
tips	125	ruby	
tips	126	ctgr	Мережа
tips	126	name	HTTP
tips	126	note	«HyperText Transfer Protocol». Протокол зв'язку, яким браузер і веб-сервер обмінюються даними — зокрема HTML.
tips	126	ruby	
tips	127	ctgr	Мережа
tips	127	name	World Wide Web
tips	127	note	Скорочено — «WWW», або просто «веб». Стандартна система документів, що використовується в інтернеті.
tips	127	ruby	
tips	128	ctgr	Мережа
tips	128	name	URL
tips	128	note	Uniform Resource Locator. Щось на кшталт адреси в інтернеті, яка вказує, де саме лежить ресурс.
tips	128	ruby	
tips	129	ctgr	Інше
tips	129	name	Сабґей
tips	129	note	Скорочення від «survival game». Гра, у якій стріляють одні в одних з пневматичної зброї, імітуючи сучасний бій. Зазвичай проводиться просто неба, десь у горах, а учасники вбираються в камуфляж, як справжні військові.
tips	129	ruby	
tips	12	ctgr	Мережа
tips	12	name	Логічно ж
tips	12	note	Скорочення від «логічно ж міркуючи». Мережевий сленг.
tips	12	ruby	
tips	130	ctgr	Мережа
tips	130	name	APL
tips	130	note	Скорочення від «A Programming Language». Мова програмування, що з'явилася 1964 року.
tips	130	ruby	
tips	131	ctgr	Мережа
tips	131	name	BASIC
tips	131	note	Скорочення від «Beginner's All purpose Symbolic Instruction Code». Мова програмування для початківців, дуже поширена у 1970-х.
tips	131	ruby	
tips	132	ctgr	Мережа
tips	132	name	plz
tips	132	note	Скорочення від «please» — «будь ласка».
tips	132	ruby	
tips	133	ctgr	Мережа
tips	133	name	AA
tips	133	note	Скорочення від ASCII-арт. На інтернет-форумах, як-от @чан, — малюнки, складені зі знаків. Бувають різні: від однорядкових каомодзі до складних багаторядкових фігур. Великі багаторядкові композиції одні майструють руками (таких звуть майстрами), а інші просто генерують спеціальними програмами.
tips	133	ruby	
tips	134	ctgr	Мережа
tips	134	name	на фулл серйозі
tips	134	note	Інтернет-сленг. Відповісти на чийсь пост цілком серйозно, без жартів і кривляння.
tips	134	ruby	
tips	135	ctgr	Інше
tips	135	name	Паралельний світ
tips	135	note	Інший світ, що існує паралельно нашому, в іншому просторі-часі. Має ту саму розмірність, що й наш, а іноді в ньому геть усе збігається — аж до людей та розташування речей.
tips	135	ruby	
tips	136	ctgr	Інше
tips	136	name	Землетрус у Шібуї
tips	136	note	6 листопада 2009 року, 22:28: у Шібуї стався локальний землетрус магнітудою 7,8 з максимальною інтенсивністю 7 балів. Катастрофа забрала 3851 життя, ще 30 927 людей отримали поранення.\nПри такому масштабі коливання зафіксували лише в частині Шібуї, а більше ніде жодних руйнувань не було. Через це в мережі шепочуться, що землетрус був штучний, справа людських рук.\nБезпосередньо перед ним Шібую сколихнула серія жорстоких убивств, відома як «Божевілля нового покоління». 25-річний чоловік, якого затримали як убивцю, загинув у тому самому землетрусі.
tips	136	ruby	
tips	137	ctgr	Інше
tips	137	name	Студентські протести
tips	137	note	У Японії — організований рух студентства, що набрав сили переважно в 1960–1970-х роках. Мета — змінити суспільний лад і поставити перед владою незручні питання. Поштовхом стали протести 1960 року проти перегляду японсько-американського договору безпеки. Згодом організації почали дробитися, ворогувати й радикалізуватися, тож до середини 1970-х рух утратив підтримку суспільства й затих.
tips	137	ruby	
tips	138	ctgr	Мережа
tips	138	name	Інтернет-правак
tips	138	note	Скорочення від «інтернет-правий». Люди з консервативними поглядами, які активні в мережі.
tips	138	ruby	
tips	139	ctgr	Інше
tips	139	name	Проблема 2000 року
tips	139	note	"Проблема, через яку старі комп'ютери могли почати працювати з помилками при настанні 2000 року.
Щоб зберегти пам'ять, старі системи майже завжди позначали рік двома останніми цифрами. Тому при переході з 1999-го на 2000-й ці цифри мали змінитися з 99 на 00. Якщо програма такого не передбачала, комп'ютер міг вирішити, що надворі 1900-й.
З приватною технікою ще півбіди, але якби збій стався в комп'ютерах життєзабезпечення, фінансів чи військової техніки, наслідки могли бути найгіршими. Тому з середини 1990-х по всьому світу вручну оновлювали всі програми.
Завдяки цим заходам проблема 2000 року так і лишилася марними страхами."
tips	139	ruby	
tips	13	ctgr	Отаку
tips	13	name	Одна манґа про теніс
tips	13	note	Шалено популярна манґа про теніс, що друкувалася в одному з найбільших за тиражем японських журналів шьонен-манґи, а згодом отримала й аніме-адаптацію. Особливо люблять її читачки. Хоч ідеться про теніс, персонажі виконують такі спеціальні прийоми, що це більше схоже на бійцівську манґу — так і склався цілком власний, неповторний світ.
tips	13	ruby	
tips	140	ctgr	Акіба
tips	140	name	Оден у банці
tips	140	note	Кілька видів начинки для одену в банці, схожій на бляшанку з соком. На початку 1990-х один магазин запчастин в Акіхабарі почав продавати його з автомата біля входу — і з часом це стало місцевою визначною стравою.
tips	140	ruby	
tips	141	ctgr	Інше
tips	141	name	SQL
tips	141	note	Structured Query Language. Мова для роботи з даними в базах даних.
tips	141	ruby	
tips	142	ctgr	Мережа
tips	142	name	Доктор Excite
tips	142	note	Народна назва сайту машинного перекладу.
tips	142	ruby	
tips	143	ctgr	Інше
tips	143	name	Синхронність
tips	143	note	"Значущий випадковий збіг — щось на кшталт передчуття. Одночасність. Коли те, що спало на думку, збігається з подією в реальності. Як принцип, що визначає настання події, вона протистоїть звичній «причинності»; звідси й друга назва — співчасність.
Коли дві події виявляють «схожість або близькість» у своєму «значенні чи образі», вони ніби випадають із звичного порядку простору й часу — це й називають дією синхронності.
Наприклад: «саме тоді, коли в кімнаті впала й розбилася ваза, в лікарні померла бабуся» або «щойно ми згадали когось у розмові, як він подзвонив». Таких випадків у світі не перелічити, і майже кожен хоч раз таке переживав — явище надзвичайно поширене.
Поняття запропонував швейцарський психолог-аналітик Карл Юнґ (1875–1961)."
tips	143	ruby	
tips	144	ctgr	Мережа
tips	144	name	Крекінг
tips	144	note	У комп'ютерній термінології — незаконний доступ до систем у мережі, підміна даних тощо. Часто плутають із хакінгом, але хакінг у первісному значенні — це дослідження та вивчення програмного забезпечення. Крекінг же — зловмисна, протиправна дія; і саме його зазвичай мають на увазі, коли в медіа кажуть «хакінг».
tips	144	ruby	
tips	145	ctgr	Мережа
tips	145	name	Автономний режим
tips	145	note	Стан, коли комп'ютер працює, не з'єднаний ні з іншими комп'ютерами, ні з мережею.
tips	145	ruby	
tips	146	ctgr	Інше
tips	146	name	IBN 5100
tips	146	note	"Перший портативний комп'ютер компанії IBN, випущений 1975 року. Монітор і клавіатура складали єдиний корпус, але при всій «портативності» важив він близько 25 кг.
У 2000-х Джон Тайтор розкрив існування особливої, не описаної в жодній інструкції мови програмування, яка працює лише на цій моделі, — і тодішні розробники IBN підтвердили, що це правда."
tips	146	ruby	
tips	147	ctgr	Восьмикласник
tips	147	name	Раґнарок
tips	147	note	У скандинавській міфології — остання війна богів. «Сутінки богів».
tips	147	ruby	
tips	148	ctgr	Інше
tips	148	name	Теорія змови
tips	148	note	"Уявлення, що якась могутня особа чи група, лишаючись у тіні, плете інтриги й нечесно керує світом із-за лаштунків.

Той, хто розповідає про змову, зазвичай переконаний, що саме він один помітив приховану правду. І навіть якщо для всіх навколо це звучить як цілковита нісенітниця, він упирається й вірить у це до кінця."
tips	148	ruby	
tips	149	ctgr	Інше
tips	149	name	«Машина часу» Веллса
tips	149	note	Роман англійського письменника Г. Дж. Веллса, опублікований 1895 року. Піонерський твір про подорожі в часі, який згодом не раз екранізували.
tips	149	ruby	
tips	14	ctgr	Мережа
tips	14	name	@чан
tips	14	note	Величезна анонімна дошка оголошень, одна з найвідвідуваніших у Японії. Гасло — «Від хакінгу до вечері», тож постять там усе: від андерґраундних тем до найбуденніших.
tips	14	ruby	
tips	150	ctgr	Інше
tips	150	name	Периферичні нерви
tips	150	note	"Нерви, що відгалужуються від центральної нервової системи (мозку й спинного мозку) і сіткою обплітають усе тіло.

Поділяються на три групи: рухові — керують рухами кінцівок; чутливі — передають у мозок зовнішні подразники (зір, дотик, слух); та вегетативні — відповідають за роботу внутрішніх органів, зокрема дихання й травлення."
tips	150	ruby	
tips	151	ctgr	Інше
tips	151	name	Термінальний режим
tips	151	note	Спосіб керувати програмою, у яку інакше не можна втрутитися, — під'єднавши до неї інший, зовнішній термінал через мережу.
tips	151	ruby	
tips	152	ctgr	Інше
tips	152	name	Кранчі-кун
tips	152	note	Марка морозива на палички. Знають його по всій країні, купити можна в будь-якому мінімаркеті. Окрім стандартного газованого смаку, випустили вже понад п'ятдесят різновидів — колу, виноград і всілякі акційні. Іноді на паличці написано «виграш»: із такою паличкою дають ще одне морозиво безкоштовно. Кажуть, шанси — близько 2\%.
tips	152	ruby	
tips	153	ctgr	Інше
tips	153	name	Мотель
tips	153	note	Слово, склеєне з motor (автомобіль) і hotel (готель). Виник у США як готель для тих, хто подорожує машиною. Стоять такі здебільшого біля магістралей на околицях, обов'язково мають парковку, а будівлі — низькі, на один-два поверхи.
tips	153	ruby	
tips	154	ctgr	Інше
tips	154	name	Подвійне значення
tips	154	note	Коли в одне слово чи вислів навмисно вкладають одразу два змісти.
tips	154	ruby	
tips	155	ctgr	Мережа
tips	155	name	JPG
tips	155	note	Joint Photographic Experts Group. Один із форматів стиснення зображень.
tips	155	ruby	
tips	156	ctgr	Восьмикласник
tips	156	name	Комітет 300
tips	156	note	"Загадкова таємна організація всього з 300 осіб, яка, за чутками, керує світом із тіні. «Незримі володарі».
Королівські родини, спецслужби, великі корпорації на чолі з банками, ба навіть ті таємні братства, що так люблять конспірологи, — усе це лише низові структури Комітету 300; кажуть, під його впливом майже всі компанії, поліція та науково-дослідні установи світу.
Однак саме його існування — не більше ніж чутка.
Кінцева мета Комітету 300, за однією з версій, — «Проєкт світової людської фермы», тобто побудова нового світового порядку.
Усіх, окрім вузької еліти, буде знищено, лишиться один мільярд — і цей мільярд триматимуть під управлінням володарів як рабів."
tips	156	ruby	
tips	157	ctgr	Мережа
tips	157	name	Ґуґлити
tips	157	note	Інтернет-сленг. Шукати щось в інтернеті.
tips	157	ruby	
tips	158	ctgr	Наука
tips	158	name	Колайдер
tips	158	note	"Експериментальна установка, що розганяє й зіштовхує різні заряджені частинки, аби вивчати реакції, які при цьому виникають. Від типу частинок залежать і назва, і будова апарата. Останніми роками майже всі високоенергетичні прискорювачі — синхротрони, тобто кільцеві.
Кільцевий прискорювач вимагає велетенської конструкції та величезних коштів на будівництво, зате дає найефективніші експерименти зі зіткнень.
Кільцева форма потрібна тому, що заряджені частинки, проходячи крізь електромагнітне поле, відхиляються від прямої силою Лоренца.
Серед головних синхротронів — окрім ВАК у SERN — установки в США, Великій Британії та Японії."
tips	158	ruby	
tips	159	ctgr	Восьмикласник
tips	159	name	Скриня Лейґ'ярн
tips	159	note	У скандинавській міфології — величезна скриня, у якій зберігається чарівний меч Леватейн; її стережуть дев'ять замків.
tips	159	ruby	
tips	15	ctgr	Мережа
tips	15	name	«Не дивись»
tips	15	note	Коли в мережі виникає фото, де людина чи тварина дивиться прямо в камеру, вставити цю шпильку — майже неписане правило.
tips	15	ruby	
tips	160	ctgr	Мережа
tips	160	name	МьюТьюб
tips	160	note	Правильно — «MewTube». Сервіс обміну відео в інтернеті, що належить американській компанії.
tips	160	ruby	
tips	161	ctgr	Мережа
tips	161	name	Те саме відео
tips	161	note	Відео, у якому засобами комп'ютерної графіки показано прогноз: маленька чорна діра, створена в експерименті на ВАК, поглинає всю Землю й нарешті знищує її. Його залили на МьюТьюб, і воно стало темою для розмов у всьому світі.
tips	161	ruby	
tips	162	ctgr	Отаку
tips	162	name	Антропоморфізм
tips	162	note	Перетворення будь-чого — тварин, предметів, ба навіть країн і хімічних елементів, будь-яких понять і явищ — на людських персонажів. Малюнок передбачається за замовчуванням.
tips	162	ruby	
tips	163	ctgr	Отаку
tips	163	name	Сцена перетворення
tips	163	note	Сцена перетворення в аніме про героїв-«хеншін» та дівчат-магів, а також її постановка. У телесеріалах таку сцену використовують майже щоразу, тому її створюють заздалегідь і окремо, з власним режисером анімації. Через це якість малюнка й постановки в ній зазвичай вища, ніж у самому епізоді.
tips	163	ruby	
tips	164	ctgr	Наука
tips	164	name	Горизонт подій
tips	164	note	"Інша назва — поверхня Шварцшильда. Це межа, за якою будь-яка передача інформації стає неможливою.
Інформацію переносять світло й електромагнітні хвилі. Але в центрі чорної діри потужна гравітація не випускає навіть світла. Саме ця межа і є горизонтом подій.
Усе, що відбувається за горизонтом подій, неможливо спостерігати ззовні. Оскільки жодне світло звідти не виривається, центр чорної діри виглядає геть чорним."
tips	164	ruby	
tips	165	ctgr	Наука
tips	165	name	Гола сингулярність
tips	165	note	"Сингулярність — це «місце, де гравітація стає безмежною». Зазвичай вона схована під горизонтом подій, тому спостерігати її ззовні неможливо.
Гола сингулярність — це стан, коли горизонт подій зникає і сингулярність стає «видимою» ззовні.
Втім, що взагалі означає та «безмежна гравітація» сингулярності, сучасна фізика (теорія відносності) пояснити не здатна."
tips	165	ruby	
tips	166	ctgr	Наука
tips	166	name	Чорна діра Керра
tips	166	note	Чорна діра, існування якої поки що лише передбачає теорія. Її особливість — сингулярність у центрі обертається. Через це обертання сингулярність, яка мала б бути точкою, набуває форми кільця.
tips	166	ruby	
tips	167	ctgr	Інше
tips	167	name	NASA
tips	167	note	Національне управління з аеронавтики й дослідження космічного простору (National Aeronautics and Space Administration). Державна установа США, що відповідає за космічну програму країни.
tips	167	ruby	
tips	168	ctgr	Восьмикласник
tips	168	name	Урд
tips	168	note	Найстарша з трьох сестер-норн (богинь долі) у скандинавській міфології. Сестри доглядають світове дерево Іґґдрасіль біля джерела Урд, що є в його коренів. Урд вважають богинею, яка володарює над минулим.
tips	168	ruby	
tips	169	ctgr	Мережа
tips	169	name	ФА
tips	169	note	Тут означає «фінальна відповідь». Вживається як уточнення: «Тобто це і є твій остаточний висновок, так?» Інтернет-сленг. Походить від популярного телевікторини, де за всі правильні відповіді дають десять мільйонів.
tips	169	ruby	
tips	16	ctgr	Отаку
tips	16	name	2D-дівчина
tips	16	note	Персонажка з аніме, гри чи манґи.
tips	16	ruby	
tips	170	ctgr	Інше
tips	170	name	Пеніцилін
tips	170	note	Перший у світі антибіотик. Відкритий 1929 року.
tips	170	ruby	
tips	171	ctgr	Інше
tips	171	name	Х-промені
tips	171	note	Електромагнітне випромінювання, відкрите Вільгельмом Рентгеном 1895 року. Різновид радіації; найвідоміше застосування — діагностичні знімки в медицині.
tips	171	ruby	
tips	172	ctgr	Інше
tips	172	name	Динаміт
tips	172	note	Вибухівка на основі нітроглицерину, винайдена Нобелем 1866 року.
tips	172	ruby	
tips	173	ctgr	Інше
tips	173	name	Ді-мейл
tips	173	note	"Скорочення від «Делоріан-мейл» — лист, який можна надіслати в минуле. Надсилається з мобільного телефона через Гаджет Майбутнього № 8, «ТелефоноХвильовку (робоча назва)».

Час призначення задається з точністю до години, але в надто близьке минуле лист не надішлеш. За один раз можна передати лише 36 байтів плюс дещиця."
tips	173	ruby	
tips	174	ctgr	Отаку
tips	174	name	Цундере
tips	174	note	Героїня, яка на людях колюча й задерикувата (цун), а наодинці розпливається від нежностей (дере). Щоправда, останніми роками це визначення стає все розмитішим.
tips	174	ruby	
tips	175	ctgr	Інше
tips	175	name	Теорія хаосу
tips	175	note	Теорія про те, що навіть коли щось описується дуже простим рівнянням, точно передбачити результат майже неможливо. Але це не означає, що результат випадковий: ідеться про те, що найдрібніша зміна на шляху до результату дає непропорційно великий розкид наслідків. До короткострокових прогнозів ця теорія не застосовується.
tips	175	ruby	
tips	176	ctgr	Інше
tips	176	name	Лоботомія
tips	176	note	Один із методів лікування психічних розладів хірургічним втручанням у мозок. У черепі роблять невеликий отвір і довгим скальпелем відсікають лобову частку. Були випадки, коли розлад справді вдавалося вилікувати, — за розробку методу навіть дали Нобелівську премію. Але водночас часто траплялися тяжкі психічні наслідки й утрата особистості через відсічення лобової частки. У 1970-х лоботомію заборонили в усьому світі.
tips	176	ruby	
tips	177	ctgr	Інше
tips	177	name	Лото-6
tips	177	note	Різновид лотереї: купуєш бланк із числами від 01 до 43 і обираєш шість із них. Якщо вони збігаються з номерами, які оголошують щотижня, — виграш.\nЯкщо переможця немає, призовий фонд переходить на наступний тиждень, тож сума виграшу щотижня різна.
tips	177	ruby	
tips	178	ctgr	Інше
tips	178	name	Лобова частка
tips	178	note	Одна з ділянок великого мозку, розташована в його передній частині. Відповідає за мислення, волю, поведінку, рухи й творчі здібності.\nЗа розташуванням лобову частку ділять на дрібніші зони: префронтальну кору, моторну та премоторну ділянки.
tips	178	ruby	
tips	179	ctgr	Інше
tips	179	name	Ефект метелика
tips	179	note	Поняття з теорії хаосу: «метелик махне крилами в Пекіні — у Нью-Йорку буде буря». Найдрібніша різниця в початкових умовах дає величезну різницю в результаті.\nТеорія хаосу стверджує, що навіть коли щось описується дуже простим рівнянням, точно передбачити результат майже неможливо. Але це не означає, що результат випадковий: найдрібніша зміна на шляху до результату дає непропорційно великий розкид наслідків. До короткострокових прогнозів ця теорія не застосовується.
tips	179	ruby	
tips	17	ctgr	Отаку
tips	17	name	Вайфу
tips	17	note	"Інтернет-сленг. Найулюбленіша 2D-персонажка отаку. Стать самого отаку й обраного персонажа не має жодного значення — вайфу є вайфу.
Кількість не обмежена, і мати кілька вайфу — річ доволі звична."
tips	17	ruby	
tips	180	ctgr	Інше
tips	180	name	Промивання мозку
tips	180	note	Насильницька переробка чужих поглядів і переконань.\nТиск чинять фізично (замкнення, погрози, побої, препарати) або психологічно (насаджування почуття вини, словесне насильство). Спосіб грубіший і жорсткіший за звичайний контроль свідомості.
